step,reward,avg_speed,cav_count,hdv_count
752,0.294230,1.994866,22,14
753,0.298321,2.022139,22,14
754,0.302412,2.049412,22,14
755,0.304457,2.063048,22,14
756,0.306503,2.076684,22,14
757,0.308548,2.090321,22,14
758,0.310594,2.103957,22,14
759,0.312639,2.117593,22,14
760,0.314684,2.131230,22,14
761,0.316730,2.144866,22,14
762,0.316730,2.144866,22,14
763,0.316730,2.144866,22,14
764,0.316730,2.144866,22,14
765,0.316730,2.144866,22,14
766,0.316730,2.144866,22,14
767,0.316730,2.144866,22,14
768,0.300705,1.877786,21,14
769,0.300705,1.877786,21,14
770,0.300705,1.877786,21,14
771,0.300705,1.877786,21,14
772,0.300705,1.877786,21,14
773,0.300705,1.877786,21,14
774,0.300705,1.877786,21,14
775,0.300705,1.877786,21,14
776,0.300705,1.877786,21,14
777,0.263205,1.877786,21,14
778,0.265538,1.892072,21,14
779,0.267872,1.906358,21,14
780,0.270205,1.920643,21,14
781,0.272538,1.934929,21,14
782,0.274872,1.949215,21,14
783,0.277205,1.963500,21,14
784,0.279384,1.976838,21,14
785,0.277828,1.967314,21,14
786,0.276272,1.957790,21,14
787,0.274717,1.948266,21,14
788,0.273161,1.938743,21,14
789,0.271606,1.929219,21,14
790,0.270050,1.919695,21,14
791,0.268495,1.910171,21,14
792,0.266939,1.900647,21,14
793,0.265199,1.887953,21,14
794,0.262732,1.862807,21,14
795,0.260281,1.837939,21,14
796,0.257860,1.813570,21,14
797,0.255443,1.789280,21,14
798,0.253054,1.765471,21,14
799,0.250844,1.743022,21,14
800,0.252381,1.743657,21,14
801,0.253958,1.744980,21,14
802,0.255537,1.746341,21,14
803,0.254832,1.734253,21,14
804,0.254130,1.722217,21,14
805,0.253482,1.711106,21,14
806,0.252834,1.699996,21,14
807,0.252240,1.689812,21,14
808,0.251659,1.679855,21,14
809,0.251118,1.670576,21,14
810,0.250618,1.662004,21,14
811,0.250127,1.653583,21,14
812,0.249684,1.646003,21,14
813,0.249283,1.639125,21,14
814,0.248886,1.632309,21,14
815,0.248532,1.626251,21,14
816,0.248218,1.620866,21,14
817,0.247939,1.616079,21,14
818,0.247661,1.611318,21,14
819,0.247417,1.607126,21,14
820,0.247203,1.603459,21,14
821,0.247015,1.600250,21,14
822,0.246852,1.597442,21,14
823,0.246708,1.594985,21,14
824,0.225972,1.592835,21,14
825,0.227936,1.605080,21,14
826,0.230019,1.619365,21,14
827,0.232103,1.633651,21,14
828,0.249797,1.647937,21,14
829,0.249797,1.647937,21,14
830,0.249797,1.647937,21,14
831,0.249797,1.647937,21,14
832,0.249797,1.647937,21,14
833,0.212297,1.647937,21,14
834,0.214631,1.662223,21,14
835,0.216964,1.676508,21,14
836,0.219297,1.690794,21,14
837,0.221631,1.705080,21,14
838,0.223964,1.719365,21,14
839,0.226297,1.733651,21,14
840,0.228631,1.747937,21,14
841,0.230964,1.762223,21,14
842,0.233297,1.776508,21,14
843,0.235631,1.790794,21,14
844,0.237964,1.805080,21,14
845,0.240297,1.819365,21,14
846,0.242631,1.833651,21,14
847,0.244964,1.847937,21,14
848,0.247297,1.862223,21,14
849,0.249631,1.876508,21,14
850,0.251832,1.888535,21,14
851,0.223515,1.594549,20,14
852,0.210895,1.594197,20,14
853,0.214776,1.609314,20,14
854,0.218664,1.624529,20,14
855,0.222589,1.640383,20,14
856,0.226522,1.656379,20,14
857,0.230489,1.672956,20,14
858,0.234474,1.689847,20,14
859,0.236114,1.692251,20,14
860,0.290377,1.695041,20,14
861,0.289698,1.683399,20,14
862,0.289038,1.672085,20,14
863,0.288424,1.661557,20,14
864,0.287815,1.651120,20,14
865,0.287257,1.641553,20,14
