window,step,throughput,cumulative_throughput
1154,115400,2,1297
1155,115500,6,1303
1156,115600,8,1311
1157,115700,4,1315
1158,115800,5,1320
1159,115900,3,1323
1160,116000,6,1329
1161,116100,7,1336
1162,116200,4,1340
1163,116300,6,1346
1164,116400,0,1346
1165,116500,3,1349
1166,116600,5,1354
1167,116700,4,1358
1168,116800,4,1362
1169,116900,2,1364
1170,117000,2,1366
1171,117100,2,1368
1172,117200,3,1371
1173,117300,4,1375
1174,117400,0,1375
1175,117500,6,1381
1176,117600,5,1386
1177,117700,3,1389
1178,117800,3,1392
1179,117900,2,1394
1180,118000,6,1400
1181,118100,7,1407
1182,118200,8,1415
1183,118300,6,1421
1184,118400,4,1425
1185,118500,6,1431
1186,118600,6,1437
1187,118700,0,1437
1188,118800,0,1437
1189,118900,5,1442
1190,119000,8,1450
1191,119100,5,1455
1192,119200,6,1461
1193,119300,3,1464
1194,119400,6,1470
1195,119500,4,1474
1196,119600,7,1481
1197,119700,6,1487
1198,119800,4,1491
1199,119900,6,1497
1200,120000,7,1504
1201,120100,7,1511
1202,120200,4,1515
1203,120300,4,1519
1204,120400,4,1523
1205,120500,8,1531
1206,120600,5,1536
1207,120700,7,1543
1208,120800,5,1548
1209,120900,6,1554
1210,121000,4,1558
1211,121100,3,1561
1212,121200,2,2
1213,121300,6,8
1214,121400,4,12
1215,121500,1,13
1216,121600,2,15
1217,121700,0,15
1218,121800,9,24
1219,121900,1,25
1220,122000,2,27
1221,122100,8,35
1222,122200,7,42
1223,122300,4,46
1224,122400,7,53
1225,122500,6,59
1226,122600,6,65
1227,122700,5,70
1228,122800,0,70
1229,122900,6,76
1230,123000,2,78
1231,123100,5,83
1232,123200,7,90
1233,123300,6,96
1234,123400,5,101
1235,123500,7,108
1236,123600,6,114
1237,123700,6,120
1238,123800,5,125
1239,123900,4,129
1240,124000,8,137
1241,124100,5,142
1242,124200,8,150
1243,124300,8,158
1244,124400,3,161
1245,124500,6,167
1246,124600,6,173
1247,124700,4,177
1248,124800,8,185
1249,124900,1,186
1250,125000,8,194
1251,125100,6,200
1252,125200,6,206
1253,125300,7,213
1254,125400,4,217
1255,125500,1,218
1256,125600,8,226
1257,125700,9,235
1258,125800,5,240
1259,125900,5,245
1260,126000,7,252
1261,126100,3,255
1262,126200,6,261
1263,126300,9,270
1264,126400,7,277
1265,126500,5,282
1266,126600,7,289
1267,126700,4,293
1268,126800,8,301
1269,126900,6,307
1270,127000,6,313
1271,127100,5,318
1272,127200,5,323
1273,127300,6,329
1274,127400,7,336
1275,127500,5,341
1276,127600,5,346
1277,127700,6,352
1278,127800,7,359
1279,127900,6,365
1280,128000,4,369
1281,128100,4,373
1282,128200,7,380
1283,128300,5,385
1284,128400,9,394
1285,128500,7,401
1286,128600,4,405
1287,128700,8,413
1288,128800,6,419
1289,128900,1,420
1290,129000,7,427
1291,129100,5,432
1292,129200,6,438
1293,129300,6,444
1294,129400,6,450
1295,129500,3,453
1296,129600,5,458
1297,129700,8,466
1298,129800,6,472
1299,129900,5,477
1300,130000,7,484
1301,130100,4,488
1302,130200,6,494
1303,130300,6,500
1304,130400,5,505
1305,130500,5,510
1306,130600,6,516
1307,130700,5,521
1308,130800,8,529
1309,130900,7,536
1310,131000,6,542
1311,131100,5,547
1312,131200,6,553
1313,131300,3,556
1314,131400,7,563
1315,131500,6,569
1316,131600,7,576
1317,131700,5,581
1318,131800,6,587
1319,131900,7,594
1320,132000,3,597
1321,132100,4,601
1322,132200,6,607
1323,132300,6,613
1324,132400,7,620
1325,132500,6,626
1326,132600,5,631
1327,132700,6,637
1328,132800,7,644
1329,132900,5,649
1330,133000,4,653
1331,133100,3,656
1332,133200,5,661
1333,133300,3,664
1334,133400,5,669
1335,133500,7,676
1336,133600,5,681
1337,133700,8,689
1338,133800,6,695
1339,133900,2,697
1340,134000,7,704
1341,134100,7,711
1342,134200,9,720
1343,134300,5,725
1344,134400,7,732
1345,134500,4,736
1346,134600,4,740
1347,134700,5,745
1348,134800,4,749
1349,134900,7,756
1350,135000,6,762
1351,135100,1,763
1352,135200,6,769
1353,135300,2,771
1354,135400,6,777
1355,135500,7,784
1356,135600,6,790
1357,135700,5,795
1358,135800,5,800
1359,135900,3,803
1360,136000,2,805
1361,136100,3,808
1362,136200,4,812
1363,136300,6,818
1364,136400,5,823
1365,136500,5,828
1366,136600,6,834
1367,136700,6,840
1368,136800,3,843
1369,136900,6,849
1370,137000,9,858
1371,137100,5,863
1372,137200,9,872
1373,137300,7,879
1374,137400,5,884
1375,137500,6,890
1376,137600,4,894
1377,137700,3,897
1378,137800,5,902
1379,137900,7,909
1380,138000,9,918
1381,138100,7,925
1382,138200,6,931
1383,138300,0,931
1384,138400,5,936
1385,138500,6,942
1386,138600,6,948
1387,138700,9,957
1388,138800,5,962
1389,138900,5,967
1390,139000,7,974
1391,139100,5,979
1392,139200,6,985
1393,139300,5,990
1394,139400,8,998
1395,139500,6,1004
1396,139600,6,1010
1397,139700,6,1016
1398,139800,6,1022
1399,139900,3,1025
1400,140000,7,1032
1401,140100,5,1037
1402,140200,5,1042
1403,140300,2,1044
1404,140400,6,1050
1405,140500,9,1059
1406,140600,5,1064
1407,140700,0,1064
1408,140800,1,1065
1409,140900,8,1073
1410,141000,7,1080
1411,141100,8,1088
1412,141200,6,1094
1413,141300,6,1100
1414,141400,7,1107
1415,141500,9,1116
1416,141600,5,1121
1417,141700,2,1123
1418,141800,0,1123
1419,141900,8,1131
1420,142000,10,1141
1421,142100,7,1148
1422,142200,0,1148
1423,142300,8,1156
1424,142400,8,1164
1425,142500,4,1168
1426,142600,7,1175
1427,142700,2,1177
1428,142800,0,1177
1429,142900,0,1177
1430,143000,8,1185
1431,143100,9,1194
1432,143200,5,1199
1433,143300,4,1203
1434,143400,9,1212
1435,143500,7,1219
1436,143600,7,1226
1437,143700,3,1229
1438,143800,8,1237
1439,143900,8,1245
1440,144000,6,1251
1441,144100,7,1258
1442,144200,5,1263
1443,144300,2,1265
1444,144400,6,1271
1445,144500,7,1278
1446,144600,9,1287
1447,144700,6,1293
